CATEGORY,TP,TN,FP,FN,MCC
earn,3502,14443,821,274,0.831544063221
oilseed,15,18690,168,167,0.0733097210959
acq,2049,9417,7414,160,0.311973076415
money-fx,630,12578,5778,54,0.238776563256
grain,425,14966,3500,149,0.232849830451
crude,393,15105,3370,172,0.218669719557
trade,382,14822,3704,132,0.214461135061
wheat,152,17072,1681,135,0.181749494508
interest,327,13798,4818,97,0.170265829677
corn,66,18184,633,157,0.150077679452
ship,68,16800,1945,227,0.0509098807428
cocoa,0,18972,0,68,0.0
barley,0,18992,0,48,0.0
oat,0,19027,0,13,0.0
sorghum,0,19006,0,34,0.0
veg-oil,0,18904,0,136,0.0
linseed,0,19038,0,2,0.0
lin-oil,0,19038,0,2,0.0
soy-oil,0,19015,0,25,0.0
sun-oil,0,19032,0,8,0.0
soybean,0,18929,0,111,0.0
sunseed,0,19023,0,17,0.0
copper,0,18963,0,77,0.0
housing,0,19022,0,18,0.0
coffee,0,18897,0,143,0.0
sugar,0,18865,0,175,0.0
reserves,0,18967,0,73,0.0
money-supply,0,18914,0,126,0.0
meal-feed,0,18990,0,50,0.0
soy-meal,0,19014,0,26,0.0
rye,0,19038,0,2,0.0
cotton,0,18978,0,62,0.0
carcass,0,18965,0,75,0.0
livestock,0,18928,0,112,0.0
cpi,0,18939,0,101,0.0
gnp,0,18887,0,153,0.0
bop,0,18939,0,101,0.0
rice,0,18973,0,67,0.0
red-bean,0,19039,0,1,0.0
rubber,0,18991,0,49,0.0
copra-cake,0,19037,0,3,0.0
palm-oil,0,18998,0,42,0.0
palmkernel,0,19037,0,3,0.0
tea,0,19025,0,15,0.0
plywood,0,19036,0,4,0.0
alum,0,18982,0,58,0.0
gold,0,18907,0,133,0.0
platinum,0,19029,0,11,0.0
strategic-metal,0,19008,0,32,0.0
tapioca,0,19036,0,4,0.0
tin,0,19007,0,33,0.0
rapeseed,0,19005,0,35,0.0
groundnut-oil,0,19038,0,2,0.0
rape-oil,0,19032,0,8,0.0
cornglutenfeed,0,19038,0,2,0.0
citruspulp,0,19039,0,1,0.0
rape-meal,0,19039,0,1,0.0
wool,0,19038,0,2,0.0
dlr,0,18872,0,168,0.0
l-cattle,0,19031,0,9,0.0
retail,0,19017,0,23,0.0
ipi,0,18983,0,57,0.0
silver,0,19004,0,36,0.0
iron-steel,0,18975,0,65,0.0
hog,0,19014,0,26,0.0
propane,0,19034,0,6,0.0
heat,0,19015,0,25,0.0
gas,0,18985,0,55,0.0
jobs,0,18972,0,68,0.0
lei,0,19027,0,13,0.0
yen,0,18982,0,58,0.0
saudriyal,0,19037,0,3,0.0
zinc,0,18997,0,43,0.0
orange,0,19015,0,25,0.0
pet-chem,0,18999,0,41,0.0
fuel,0,19012,0,28,0.0
wpi,0,19011,0,29,0.0
potato,0,19034,0,6,0.0
lead,0,19005,0,35,0.0
groundnut,0,19030,0,10,0.0
can,0,19037,0,3,0.0
fishmeal,0,19038,0,2,0.0
income,0,19028,0,12,0.0
palladium,0,19037,0,3,0.0
nickel,0,19029,0,11,0.0
lumber,0,19023,0,17,0.0
jet,0,19032,0,8,0.0
instal-debt,0,19035,0,5,0.0
dfl,0,19037,0,3,0.0
dmk,0,19026,0,14,0.0
stg,0,19023,0,17,0.0
coconut-oil,0,19033,0,7,0.0
corn-oil,0,19039,0,1,0.0
inventories,0,19034,0,6,0.0
cpu,0,19038,0,2,0.0
peseta,0,19039,0,1,0.0
austdlr,0,19036,0,4,0.0
cotton-oil,0,19037,0,3,0.0
naphtha,0,19033,0,7,0.0
nzdlr,0,19036,0,4,0.0
rand,0,19037,0,3,0.0
pork-belly,0,19037,0,3,0.0
ringgit,0,19039,0,1,0.0
coconut,0,19034,0,6,0.0
castorseed,0,19039,0,1,0.0
castor-oil,0,19038,0,2,0.0
lit,0,19037,0,3,0.0
rupiah,0,19039,0,1,0.0
skr,0,19039,0,1,0.0
nkr,0,19038,0,2,0.0
dkr,0,19039,0,1,0.0
sun-meal,0,19038,0,2,0.0
lin-meal,0,19039,0,1,0.0
cottonseed,0,19039,0,1,0.0
f-cattle,0,19037,0,3,0.0
bfr,0,19039,0,1,0.0
hk,0,19039,0,1,0.0
sfr,0,19037,0,3,0.0
nat-gas,0,18904,10,126,-0.00187100171707
